,name,latitude_deg,longitude_deg,iso_country,iata_code
6528,Aleknagik / New Airport,59.2826004,-158.6179962,US,WKK
11209,"""Ghost"" International Airport",33.284605,69.80734,AF,KHT
11247,Honiara International Airport,-9.428,160.054993,SB,HIR
11252,Munda Airport,-8.32797,157.263,SB,MUA
11276,Hongyuan Airport,32.53154,102.35224,CN,AHJ
11515,Nauru International Airport,-0.547458,166.919006,NR,INU
13104,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,AXF
13109,Buka Airport,-5.4223199,154.6730042,PG,BUA
13116,Chimbu Airport,-6.0242901,144.970993,PG,CMU
13125,Daru Airport,-9.08676,143.207993,PG,DAU
13148,Goroka Airport,-6.0816898,145.3919983,PG,GKA
13155,Gurney Airport,-10.3114996,150.3339996,PG,GUR
13159,Girua Airport,-8.8045397,148.3090057,PG,PNP
13168,Hoskins Airport,-5.463846,150.407327,PG,HKN
13197,Kerema Airport,-7.9636102,145.7709961,PG,KMA
13201,Kavieng Airport,-2.5794001,150.8079987,PG,KVG
13218,Madang Airport,-5.2070799,145.7890015,PG,MAG
13219,Mount Hagen Kagamuga Airport,-5.828212,144.299412,PG,HGU
13222,Mendi Airport,-6.14774,143.656998,PG,MDU
13223,Momote Airport,-2.06189,147.423996,PG,MAS
13237,Nadzab Airport,-6.569803,146.725977,PG,LAE
13259,Port Moresby Jacksons International Airport,-9.4433804,147.2200012,PG,POM
13298,Tokua Airport,-4.34046,152.380005,PG,RAB
13328,Vanimo Airport,-2.6926,141.3028,PG,VAI
13332,Wapenamanda Airport,-5.635293,143.892231,PG,WBM
13334,Wewak International Airport,-3.5838301,143.6690063,PG,WWK
13371,Zabrat Airport,40.4955422,49.9768066,AZ,ZXT
13520,Benguera Island Airport,-21.8533001,35.4383011,MZ,BCW
13686,Bezmer Air Base,42.4548988,26.3521996,BG,JAM
13687,Aasiaat Airport,68.721802,-52.784698,GL,JEG
13695,Narsarsuaq Airport,61.1605,-45.425999,GL,UAK
13705,Nuuk Airport,64.193022,-51.676512,GL,GOH
13717,Kulusuk Airport,65.573601,-37.1236,GL,KUS
13743,Kangerlussuaq Airport,67.010446,-50.715294,GL,SFJ
13748,Sisimiut Airport,66.951302,-53.729301,GL,JHS
13752,Thule Air Base,76.531197,-68.703201,GL,THU
13773,Akureyri Airport,65.6600037,-18.0727005,IS,AEY
13784,Egilsstaðir Airport,65.2833023,-14.4013996,IS,EGS
13800,Hornafjörður Airport,64.295601,-15.2272,IS,HFN
13804,Húsavík Airport,65.952301,-17.426001,IS,HZK
13810,Ísafjörður Airport,66.0580978,-23.1352997,IS,IFJ
13814,Keflavik International Airport,63.985001,-22.6056,IS,KEF
