,iso2,iso3
0,JP,JPN
1,ID,IDN
2,IN,IND
3,CN,CHN
4,IN,IND
5,PH,PHL
6,CN,CHN
7,BR,BRA
8,KR,KOR
9,MX,MEX
10,EG,EGY
11,US,USA
12,BD,BGD
13,CN,CHN
14,IN,IND
15,TH,THA
16,CN,CHN
17,RU,RUS
18,AR,ARG
19,NG,NGA
20,TR,TUR
21,PK,PAK
22,IN,IND
23,VN,VNM
24,JP,JPN
25,CN,CHN
26,IR,IRN
27,CD,COD
28,BR,BRA
29,IN,IND
30,CN,CHN
31,PK,PAK
32,CN,CHN
33,US,USA
34,CN,CHN
35,GB,GBR
36,FR,FRA
37,CN,CHN
38,CN,CHN
39,IN,IND
40,CN,CHN
41,PE,PER
42,CN,CHN
43,CN,CHN
44,CN,CHN
45,CN,CHN
46,JP,JPN
47,TW,TWN
48,CN,CHN
49,AO,AGO
50,CN,CHN
51,CN,CHN
52,MY,MYS
53,CN,CHN
54,CN,CHN
55,US,USA
56,CN,CHN
57,CN,CHN
58,VN,VNM
59,IN,IND
60,CN,CHN
61,IN,IND
62,ZA,ZAF
63,CO,COL
64,TZ,TZA
65,CN,CHN
66,SD,SDN
67,CN,CHN
68,CN,CHN
69,HK,HKG
70,CN,CHN
71,CN,CHN
72,CN,CHN
73,CN,CHN
74,SA,SAU
75,CN,CHN
76,CL,CHL
77,CN,CHN
78,BD,BGD
79,CN,CHN
80,CN,CHN
81,CN,CHN
82,IN,IND
83,ID,IDN
84,CN,CHN
85,CN,CHN
86,CN,CHN
87,CN,CHN
88,ES,ESP
89,IQ,IRQ
90,CN,CHN
91,CN,CHN
92,SG,SGP
93,IN,IND
94,CN,CHN
95,CN,CHN
96,CN,CHN
97,CN,CHN
98,CN,CHN
99,CM,CMR
100,US,USA
101,CN,CHN
102,CN,CHN
103,CN,CHN
104,US,USA
105,US,USA
106,CN,CHN
107,CN,CHN
108,CN,CHN
109,CN,CHN
110,EG,EGY
111,CN,CHN
112,CN,CHN
113,KE,KEN
114,MX,MEX
115,US,USA
116,TR,TUR
117,CN,CHN
118,CN,CHN
119,CN,CHN
120,CN,CHN
121,CA,CAN
122,CN,CHN
123,RU,RUS
124,CN,CHN
125,CN,CHN
126,MX,MEX
127,BR,BRA
128,CN,CHN
129,MM,MMR
130,CN,CHN
131,CN,CHN
132,CN,CHN
133,CN,CHN
134,US,USA
135,CN,CHN
136,IR,IRN
137,CN,CHN
138,CI,CIV
139,CN,CHN
140,CN,CHN
141,CN,CHN
142,CN,CHN
143,CN,CHN
144,CN,CHN
145,EG,EGY
146,CN,CHN
147,AU,AUS
148,CN,CHN
149,US,USA
150,ES,ESP
151,CN,CHN
152,CN,CHN
153,CN,CHN
154,CN,CHN
155,CN,CHN
156,CN,CHN
157,CN,CHN
158,AU,AUS
159,DE,DEU
160,CN,CHN
161,CO,COL
162,CN,CHN
163,CN,CHN
164,CN,CHN
165,CN,CHN
166,CN,CHN
167,MA,MAR
168,CN,CHN
169,CN,CHN
170,CN,CHN
171,CN,CHN
172,CN,CHN
173,TR,TUR
174,CN,CHN
175,CN,CHN
176,AF,AFG
177,SO,SOM
178,CN,CHN
179,CN,CHN
180,US,USA
181,CN,CHN
182,CN,CHN
183,CN,CHN
184,CN,CHN
185,CN,CHN
186,CN,CHN
187,US,USA
188,CN,CHN
189,JO,JOR
190,CN,CHN
191,SA,SAU
192,CN,CHN
193,CN,CHN
194,CN,CHN
195,CN,CHN
196,CN,CHN
197,NG,NGA
198,CN,CHN
199,CN,CHN
200,CN,CHN
201,NG,NGA
202,JP,JPN
203,CN,CHN
204,CN,CHN
205,CN,CHN
206,CN,CHN
207,CN,CHN
208,CN,CHN
209,CN,CHN
210,ID,IDN
211,CN,CHN
212,CN,CHN
213,CN,CHN
214,CN,CHN
215,CN,CHN
216,CN,CHN
217,NG,NGA
218,CN,CHN
219,US,USA
220,CA,CAN
221,KR,KOR
222,CN,CHN
223,US,USA
224,DZ,DZA
225,CN,CHN
226,CN,CHN
227,CN,CHN
228,IN,IND
229,CN,CHN
230,IR,IRN
231,GH,GHA
232,CN,CHN
233,AE,ARE
234,CN,CHN
235,CN,CHN
